Code,Disorder_Name
6A20.20,"- - - - Schizophrenia, continuous, currently symptomatic"
6A20.21,"- - - - Schizophrenia, continuous, in partial remission"
6A20.22,"- - - - Schizophrenia, continuous, in full remission"
6A20.2Z,"- - - - Schizophrenia, continuous, unspecified"
6A20.Y,- - - Other specified episode of schizophrenia
6A20.Z,"- - - Schizophrenia, episode unspecified"
6A21,- - Schizoaffective disorder
6A21.0,"- - - Schizoaffective disorder, first episode"
6A21.00,"- - - - Schizoaffective disorder, first episode, currently symptomatic"
6A21.01,"- - - - Schizoaffective disorder, first episode, in partial remission"
6A21.02,"- - - - Schizoaffective disorder, first episode, in full remission"
6A21.0Z,"- - - - Schizoaffective disorder, first episode, unspecified"
6A21.1,"- - - Schizoaffective disorder, multiple episodes"
6A21.10,"- - - - Schizoaffective disorder, multiple episodes, currently symptomatic"
6A21.11,"- - - - Schizoaffective disorder, multiple episodes, in partial remission"
6A21.12,"- - - - Schizoaffective disorder, multiple episodes, in full remission"
6A21.1Z,"- - - - Schizoaffective disorder, multiple episodes, unspecified"
6A21.2,"- - - Schizoaffective disorder, continuous"
6A21.20,"- - - - Schizoaffective disorder, continuous, currently symptomatic"
6A21.21,"- - - - Schizoaffective disorder, continuous, in partial remission"
6A21.22,"- - - - Schizoaffective disorder, continuous, in full remission"
6A21.2Z,"- - - - Schizoaffective disorder, continuous, unspecified"
6A21.Y,- - - Other specified schizoaffective disorder
6A21.Z,"- - - Schizoaffective disorder, unspecified"
6A22,- - Schizotypal disorder
6A23,- - Acute and transient psychotic disorder
6A23.0,"- - - Acute and transient psychotic disorder, first episode"
6A23.00,"- - - - Acute and transient psychotic disorder, first episode, currently symptomatic"
6A23.01,"- - - - Acute and transient psychotic disorder, first episode, in partial remission"
6A23.02,"- - - - Acute and transient psychotic disorder, first episode, in full remission"
6A23.0Z,"- - - - Acute and transient psychotic disorder, first episode, unspecified"
6A23.1,"- - - Acute and transient psychotic disorder, multiple episodes"
6A23.10,"- - - - Acute and transient psychotic disorder, multiple episodes, currently symptomatic"
6A23.11,"- - - - Acute and transient psychotic disorder, multiple episodes, in partial remission"
6A23.12,"- - - - Acute and transient psychotic disorder, multiple episodes, in full remission"
6A23.1Z,"- - - - Acute and transient psychotic disorder, multiple episodes, unspecified"
6A23.Y,- - - Other specified acute and transient psychotic disorder
6A23.Z,"- - - Acute and transient psychotic disorder, unspecified"
6A24,- - Delusional disorder
6A24.0,"- - - Delusional disorder, currently symptomatic"
6A24.1,"- - - Delusional disorder, in partial remission"
6A24.2,"- - - Delusional disorder, in full remission"
6A24.Z,"- - - Delusional disorder, unspecified"
6A25,- - Symptomatic manifestations of primary psychotic disorders
6A25.0,- - - Positive symptoms in primary psychotic disorders
6A25.1,- - - Negative symptoms in primary psychotic disorders
6A25.2,- - - Depressive mood symptoms in primary psychotic disorders
6A25.3,- - - Manic mood symptoms in primary psychotic disorders
6A25.4,- - - Psychomotor symptoms in primary psychotic disorders
6A25.5,- - - Cognitive symptoms in primary psychotic disorders
6A2Y,- - Other specified primary psychotic disorder
6A2Z,"- - Schizophrenia or other primary psychotic disorders, unspecified"
6A40,- - Catatonia associated with another mental disorder
6A41,- - Catatonia induced by substances or medications
6A4Z,"- - Catatonia, unspecified"
6A60,- - - Bipolar type I disorder
6A60.0,"- - - - Bipolar type I disorder, current episode manic, without psychotic symptoms"
6A60.1,"- - - - Bipolar type I disorder, current episode manic, with psychotic symptoms"
6A60.2,"- - - - Bipolar type I disorder, current episode hypomanic"
6A60.3,"- - - - Bipolar type I disorder, current episode depressive, mild"
6A60.4,"- - - - Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms"
6A60.5,"- - - - Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms"
6A60.6,"- - - - Bipolar type I disorder, current episode depressive, severe without psychotic symptoms"
6A60.7,"- - - - Bipolar type I disorder, current episode depressive, severe with psychotic symptoms"
6A60.8,"- - - - Bipolar type I disorder, current episode depressive, unspecified severity"
6A60.9,"- - - - Bipolar type I disorder, current episode mixed, without psychotic symptoms"
6A60.A,"- - - - Bipolar type I disorder, current episode mixed, with psychotic symptoms"
6A60.B,"- - - - Bipolar type I disorder, currently in partial remission, most recent episode manic or hypomanic"
6A60.C,"- - - - Bipolar type I disorder, currently in partial remission, most recent episode depressive"
6A60.D,"- - - - Bipolar type I disorder, currently in partial remission, most recent episode mixed"
6A60.E,"- - - - Bipolar type I disorder, currently in partial remission, most recent episode unspecified"
6A60.F,"- - - - Bipolar type I disorder, currently in full remission"
6A60.Y,- - - - Other specified bipolar type I disorder
6A60.Z,"- - - - Bipolar type I disorder, unspecified"
6A61,- - - Bipolar type II disorder
6A61.0,"- - - - Bipolar type II disorder, current episode hypomanic"
6A61.1,"- - - - Bipolar type II disorder, current episode depressive, mild"
6A61.2,"- - - - Bipolar type II disorder, current episode depressive, moderate without psychotic symptoms"
6A61.3,"- - - - Bipolar type II disorder, current episode depressive, moderate with psychotic symptoms"
6A61.4,"- - - - Bipolar type II disorder, current episode depressive, severe without psychotic symptoms"
6A61.5,"- - - - Bipolar type II disorder, current episode depressive, severe with psychotic symptoms"
6A61.6,"- - - - Bipolar type II disorder, current episode depressive, unspecified severity"
6A61.7,"- - - - Bipolar type II disorder, currently in partial remission, most recent episode hypomanic"
6A61.8,"- - - - Bipolar type II disorder, currently in partial remission, most recent episode depressive"
6A61.9,"- - - - Bipolar type II disorder, currently in partial remission, most recent episode unspecified"
6A61.A,"- - - - Bipolar type II disorder, currently in full remission"
6A61.Y,- - - - Other specified bipolar type II disorder
6A61.Z,"- - - - Bipolar type II disorder, unspecified"
6A62,- - - Cyclothymic disorder
6A6Y,- - - Other specified bipolar or related disorders
6A6Z,"- - - Bipolar or related disorders, unspecified"
6A70,- - - Single episode depressive disorder
6A70.0,"- - - - Single episode depressive disorder, mild"
6A70.1,"- - - - Single episode depressive disorder, moderate, without psychotic symptoms"
6A70.2,"- - - - Single episode depressive disorder, moderate, with psychotic symptoms"
6A70.3,"- - - - Single episode depressive disorder, severe, without psychotic symptoms"
6A70.4,"- - - - Single episode depressive disorder, severe, with psychotic symptoms"
6A70.5,"- - - - Single episode depressive disorder, unspecified severity"
6A70.6,"- - - - Single episode depressive disorder, currently in partial remission"
6A70.7,"- - - - Single episode depressive disorder, currently in full remission"
6A70.Y,- - - - Other specified single episode depressive disorder
6A70.Z,"- - - - Single episode depressive disorder, unspecified"
6A71,- - - Recurrent depressive disorder
6A71.0,"- - - - Recurrent depressive disorder, current episode mild"
6A71.1,"- - - - Recurrent depressive disorder, current episode moderate, without psychotic symptoms"
6A71.2,"- - - - Recurrent depressive disorder, current episode moderate, with psychotic symptoms"
6A71.3,"- - - - Recurrent depressive disorder, current episode severe, without psychotic symptoms"
6A71.4,"- - - - Recurrent depressive disorder, current episode severe, with psychotic symptoms"
6A71.5,"- - - - Recurrent depressive disorder, current episode, unspecified severity"
6A71.6,"- - - - Recurrent depressive disorder, currently in partial remission"
6A71.7,"- - - - Recurrent depressive disorder, currently in full remission"
6A71.Y,- - - - Other specified recurrent depressive disorder
6A71.Z,"- - - - Recurrent depressive disorder, unspecified"
6A72,- - - Dysthymic disorder
6A73,- - - Mixed depressive and anxiety disorder
6A7Y,- - - Other specified depressive disorders
6A7Z,"- - - Depressive disorders, unspecified"
6A80,- - Symptomatic and course presentations for mood episodes in mood disorders
6A80.0,- - - Prominent anxiety symptoms in mood episodes
6A80.1,- - - Panic attacks in mood episodes
6A80.2,- - - Current depressive episode persistent
6A80.3,- - - Current depressive episode with melancholia
6A80.4,- - - Seasonal pattern of mood episode onset
6A80.5,- - - Rapid cycling
6A8Y,- - Other specified mood disorders
6A8Z,"- - Mood disorders, unspecified"
6B00,- - Generalised anxiety disorder
6B01,- - Panic disorder
6B02,- - Agoraphobia
6B03,- - Specific phobia
6B04,- - Social anxiety disorder
6B05,- - Separation anxiety disorder
6B06,- - Selective mutism
6B0Y,- - Other specified anxiety or fear-related disorders
6B0Z,"- - Anxiety or fear-related disorders, unspecified"
6B20,- - Obsessive-compulsive disorder
6B20.0,- - - Obsessive-compulsive disorder with fair to good insight
6B20.1,- - - Obsessive-compulsive disorder with poor to absent insight
6B20.Z,"- - - Obsessive-compulsive disorder, unspecified"
6B21,- - Body dysmorphic disorder
6B21.0,- - - Body dysmorphic disorder with fair to good insight
6B21.1,- - - Body dysmorphic disorder with poor to absent insight
6B21.Z,"- - - Body dysmorphic disorder, unspecified"
6B22,- - Olfactory reference disorder
6B22.0,- - - Olfactory reference disorder with fair to good insight
6B22.1,- - - Olfactory reference disorder with poor to absent insight
6B22.Z,"- - - Olfactory reference disorder, unspecified"
6B23,- - Hypochondriasis
6B23.0,- - - Hypochondriasis with fair to good insight
6B23.1,- - - Hypochondriasis with poor to absent insight
6B23.Z,"- - - Hypochondriasis, unspecified"
6B24,- - Hoarding disorder
6B24.0,- - - Hoarding disorder with fair to good insight
6B24.1,- - - Hoarding disorder with poor to absent insight
6B24.Z,"- - - Hoarding disorder, unspecified"
6B25,- - Body-focused repetitive behaviour disorders
6B25.0,- - - Trichotillomania
6B25.1,- - - Excoriation disorder
6B25.Y,- - - Other specified body-focused repetitive behaviour disorders
6B25.Z,"- - - Body-focused repetitive behaviour disorders, unspecified"
6B2Y,- - Other specified obsessive-compulsive or related disorders
6B2Z,"- - Obsessive-compulsive or related disorders, unspecified"
6B40,- - Post traumatic stress disorder
6B41,- - Complex post traumatic stress disorder
6B42,- - Prolonged grief disorder
6B43,- - Adjustment disorder
6B44,- - Reactive attachment disorder
6B45,- - Disinhibited social engagement disorder
6B4Y,- - Other specified disorders specifically associated with stress
6B4Z,"- - Disorders specifically associated with stress, unspecified"
6B60,- - Dissociative neurological symptom disorder
6B60.0,"- - - Dissociative neurological symptom disorder, with visual disturbance"
6B60.1,"- - - Dissociative neurological symptom disorder, with auditory disturbance"
6B60.2,"- - - Dissociative neurological symptom disorder, with vertigo or dizziness"
6B60.3,"- - - Dissociative neurological symptom disorder, with other sensory disturbance"
6B60.4,"- - - Dissociative neurological symptom disorder, with non-epileptic seizures"
6B60.5,"- - - Dissociative neurological symptom disorder, with speech disturbance"
6B60.6,"- - - Dissociative neurological symptom disorder, with paresis or weakness"
6B60.7,"- - - Dissociative neurological symptom disorder, with gait disturbance"
6B60.8,"- - - Dissociative neurological symptom disorder, with movement disturbance"
6B60.80,"- - - - Dissociative neurological symptom disorder, with chorea"
6B60.81,"- - - - Dissociative neurological symptom disorder, with myoclonus"
6B60.82,"- - - - Dissociative neurological symptom disorder, with tremor"
6B60.83,"- - - - Dissociative neurological symptom disorder, with dystonia"
6B60.84,"- - - - Dissociative neurological symptom disorder, with facial spasm"
6B60.85,"- - - - Dissociative neurological symptom disorder, with Parkinsonism"
6B60.8Y,"- - - - Dissociative neurological symptom disorder, with other specified movement disturbance"
6B60.8Z,"- - - - Dissociative neurological symptom disorder, with unspecified movement disturbance"
6B60.9,"- - - Dissociative neurological symptom disorder, with cognitive symptoms"
6B60.Y,"- - - Dissociative neurological symptom disorder, with other specified symptoms"
6B60.Z,"- - - Dissociative neurological symptom disorder, with unspecified symptoms"
6B61,- - Dissociative amnesia
6B61.0,- - - Dissociative amnesia with dissociative fugue
6B61.1,- - - Dissociative amnesia without dissociative fugue
6B61.Z,"- - - Dissociative amnesia, unspecified"
6B62,- - Trance disorder
6B63,- - Possession trance disorder
6B64,- - Dissociative identity disorder
6B65,- - Partial dissociative identity disorder
6B66,- - Depersonalization-derealization disorder
6B6Y,- - Other specified dissociative disorders
6B6Z,"- - Dissociative disorders, unspecified"
6B80,- - Anorexia Nervosa
6B80.0,- - - Anorexia Nervosa with significantly low body weight
6B80.00,"- - - - Anorexia Nervosa with significantly low body weight, restricting pattern"
6B80.01,"- - - - Anorexia Nervosa with significantly low body weight, binge-purge pattern"
6B80.0Z,"- - - - Anorexia Nervosa with significantly low body weight, unspecified"
6B80.1,- - - Anorexia Nervosa with dangerously low body weight
6B80.10,"- - - - Anorexia Nervosa with dangerously low body weight, restricting pattern"
6B80.11,"- - - - Anorexia Nervosa with dangerously low body weight, binge-purge pattern"
6B80.1Z,"- - - - Anorexia Nervosa with dangerously low body weight, unspecified"
6B80.2,- - - Anorexia Nervosa in recovery with normal body weight
6B80.Y,- - - Other specified anorexia Nervosa
6B80.Z,"- - - Anorexia Nervosa, unspecified"
6B81,- - Bulimia Nervosa
6B82,- - Binge eating disorder
6B83,- - Avoidant-restrictive food intake disorder
6B84,- - Pica
6B85,- - Rumination-regurgitation disorder
6B8Y,- - Other specified feeding or eating disorders
6B8Z,"- - Feeding or eating disorders, unspecified"
6C00,- - Enuresis
6C00.0,- - - Nocturnal enuresis
6C00.1,- - - Diurnal enuresis
6C00.2,- - - Nocturnal and diurnal enuresis
6C00.Z,"- - - Enuresis, unspecified"
6C01,- - Encopresis
6C01.0,- - - Encopresis with constipation or overflow incontinence
6C01.1,- - - Encopresis without constipation or overflow incontinence
6C01.Z,"- - - Encopresis, unspecified"
6C0Z,"- - Elimination disorders, unspecified"
6C20,- - Bodily distress disorder
6C20.0,- - - Mild bodily distress disorder
6C20.1,- - - Moderate bodily distress disorder
6C20.2,- - - Severe bodily distress disorder
6C20.Z,"- - - Bodily distress disorder, unspecified"
6C21,- - Body integrity dysphoria
6C2Y,- - Other specified disorders of bodily distress or bodily experience
6C2Z,"- - Disorders of bodily distress or bodily experience, unspecified"
6C40,- - - Disorders due to use of alcohol
6C40.0,- - - - Episode of harmful use of alcohol
6C40.1,- - - - Harmful pattern of use of alcohol
6C40.10,"- - - - - Harmful pattern of use of alcohol, episodic"
6C40.11,"- - - - - Harmful pattern of use of alcohol, continuous"
6C40.1Z,"- - - - - Harmful pattern of use of alcohol, unspecified"
6C40.2,- - - - Alcohol dependence
6C40.20,"- - - - - Alcohol dependence, current use, continuous"
6C40.21,"- - - - - Alcohol dependence, current use, episodic"
6C40.22,"- - - - - Alcohol dependence, early full remission"
6C40.23,"- - - - - Alcohol dependence, sustained partial remission"
6C40.24,"- - - - - Alcohol dependence, sustained full remission"
6C40.2Z,"- - - - - Alcohol dependence, unspecified"
6C40.3,- - - - Alcohol intoxication
6C40.4,- - - - Alcohol withdrawal
6C40.40,"- - - - - Alcohol withdrawal, uncomplicated"
6C40.41,- - - - - Alcohol withdrawal with perceptual disturbances
6C40.42,- - - - - Alcohol withdrawal with seizures
6C40.43,- - - - - Alcohol withdrawal with perceptual disturbances and seizures
6C40.4Z,"- - - - - Alcohol withdrawal, unspecified"
6C40.5,- - - - Alcohol-induced delirium
6C40.6,- - - - Alcohol-induced psychotic disorder
6C40.60,- - - - - Alcohol-induced psychotic disorder with hallucinations
6C40.61,- - - - - Alcohol-induced psychotic disorder with delusions
6C40.62,- - - - - Alcohol-induced psychotic disorder with mixed psychotic symptoms
6C40.6Z,"- - - - - Alcohol-induced psychotic disorder, unspecified"
6C40.7,- - - - Certain specified alcohol-induced mental or behavioural disorders
6C40.70,- - - - - Alcohol-induced mood disorder
6C40.71,- - - - - Alcohol-induced anxiety disorder
6C40.Y,- - - - Other specified disorders due to use of alcohol
6C40.Z,"- - - - Disorders due to use of alcohol, unspecified"
6C41,- - - Disorders due to use of cannabis
6C41.0,- - - - Episode of harmful use of cannabis
6C41.1,- - - - Harmful pattern of use of cannabis
6C41.10,"- - - - - Harmful pattern of use of cannabis, episodic"
6C41.11,"- - - - - Harmful pattern of use of cannabis, continuous"
6C41.1Z,"- - - - - Harmful pattern of use of cannabis, unspecified"
6C41.2,- - - - Cannabis dependence
6C41.20,"- - - - - Cannabis dependence, current use"
6C41.21,"- - - - - Cannabis dependence, early full remission"
6C41.22,"- - - - - Cannabis dependence, sustained partial remission"
6C41.23,"- - - - - Cannabis dependence, sustained full remission"
6C41.2Z,"- - - - - Cannabis dependence, unspecified"
6C41.3,- - - - Cannabis intoxication
6C41.4,- - - - Cannabis withdrawal
6C41.5,- - - - Cannabis-induced delirium
6C41.6,- - - - Cannabis-induced psychotic disorder
6C41.7,- - - - Certain specified cannabis-induced mental or behavioural disorders
6C41.70,- - - - - Cannabis-induced mood disorder
6C41.71,- - - - - Cannabis-induced anxiety disorder
6C41.Y,- - - - Other specified disorders due to use of cannabis
6C41.Z,"- - - - Disorders due to use of cannabis, unspecified"
6C42,- - - Disorders due to use of synthetic cannabinoids
6C42.0,- - - - Episode of harmful use of synthetic cannabinoids
6C42.1,- - - - Harmful pattern of use of synthetic cannabinoids
6C42.10,"- - - - - Harmful pattern of use of synthetic cannabinoids, episodic"
6C42.11,"- - - - - Harmful pattern of use of synthetic cannabinoids, continuous"
6C42.1Y,- - - - - Other specified harmful pattern of use of synthetic cannabinoids
6C42.1Z,"- - - - - Harmful pattern of use of synthetic cannabinoids, unspecified"
6C42.2,- - - - Synthetic cannabinoid dependence
6C42.20,"- - - - - Synthetic cannabinoid dependence, current use"
6C42.21,"- - - - - Synthetic cannabinoid dependence, early full remission"
6C42.22,"- - - - - Synthetic cannabinoid dependence, sustained partial remission"
6C42.23,"- - - - - Synthetic cannabinoid dependence, sustained full remission"
6C42.2Y,- - - - - Other specified synthetic cannabinoid dependence
6C42.2Z,"- - - - - Synthetic cannabinoid dependence, unspecified"
6C42.3,- - - - Synthetic cannabinoid intoxication
6C42.4,- - - - Synthetic cannabinoid withdrawal
6C42.5,- - - - Synthetic cannabinoid-induced delirium
6C42.6,- - - - Synthetic cannabinoid-induced psychotic disorder
6C42.7,- - - - Certain specified synthetic cannabinoids-induced mental or behavioural disorders
6C42.70,- - - - - Synthetic cannabinoid-induced mood disorder
6C42.71,- - - - - Synthetic cannabinoid-induced anxiety disorder
6C42.Y,- - - - Other specified disorders due to use of synthetic cannabinoids
6C42.Z,"- - - - Disorders due to use of synthetic cannabinoids, unspecified"
6C43,- - - Disorders due to use of opioids
6C43.0,- - - - Episode of harmful use of opioids
6C43.1,- - - - Harmful pattern of use of opioids
6C43.10,"- - - - - Harmful pattern of use of opioids, episodic"
6C43.11,"- - - - - Harmful pattern of use of opioids, continuous"
6C43.1Z,"- - - - - Harmful pattern of use of opioids, unspecified"
6C43.2,- - - - Opioid dependence
6C43.20,"- - - - - Opioid dependence, current use"
6C43.21,"- - - - - Opioid dependence, early full remission"
6C43.22,"- - - - - Opioid dependence, sustained partial remission"
6C43.23,"- - - - - Opioid dependence, sustained full remission"
6C43.2Z,"- - - - - Opioid dependence, unspecified"
6C43.3,- - - - Opioid intoxication
6C43.4,- - - - Opioid withdrawal
6C43.5,- - - - Opioid-induced delirium
6C43.6,- - - - Opioid-induced psychotic disorder
6C43.7,- - - - Certain specified opioid-induced mental or behavioural disorders
6C43.70,- - - - - Opioid-induced mood disorder
6C43.71,- - - - - Opioid-induced anxiety disorder
6C43.Y,- - - - Other specified disorders due to use of opioids
6C43.Z,"- - - - Disorders due to use of opioids, unspecified"
6C44,"- - - Disorders due to use of sedatives, hypnotics or anxiolytics"
6C44.0,"- - - - Episode of harmful use of sedatives, hypnotics or anxiolytics"
6C44.1,"- - - - Harmful pattern of use of sedatives, hypnotics or anxiolytics"
6C44.10,"- - - - - Harmful pattern of use of sedatives, hypnotics or anxiolytics, episodic"
6C44.11,"- - - - - Harmful pattern of use of sedatives, hypnotics or anxiolytics, continuous"
6C44.1Z,"- - - - - Harmful pattern of use of sedatives, hypnotics or anxiolytics, unspecified"
6C44.2,"- - - - Sedative, hypnotic or anxiolytic dependence"
6C44.20,"- - - - - Sedative, hypnotic or anxiolytic dependence, current use"
6C44.21,"- - - - - Sedative, hypnotic or anxiolytic dependence, early full remission"
6C44.22,"- - - - - Sedative, hypnotic or anxiolytic dependence, sustained partial remission"
6C44.23,"- - - - - Sedative, hypnotic or anxiolytic dependence, sustained full remission"
6C44.2Z,"- - - - - Sedative, hypnotic or anxiolytic dependence, unspecified"
6C44.3,"- - - - Sedative, hypnotic or anxiolytic intoxication"
6C44.4,"- - - - Sedative, hypnotic or anxiolytic withdrawal"
6C44.40,"- - - - - Sedative, hypnotic or anxiolytic withdrawal, uncomplicated"
6C44.41,"- - - - - Sedative, hypnotic or anxiolytic withdrawal, with perceptual disturbances"
6C44.42,"- - - - - Sedative, hypnotic or anxiolytic withdrawal, with seizures"
6C44.43,"- - - - - Sedative, hypnotic or anxiolytic withdrawal, with perceptual disturbances and seizures"
6C44.4Z,"- - - - - Sedative, hypnotic or anxiolytic withdrawal, unspecified"
6C44.5,"- - - - Sedative, hypnotic or anxiolytic-induced delirium"
6C44.6,"- - - - Sedative, hypnotic or anxiolytic-induced psychotic disorder"
6C44.7,"- - - - Certain specified sedatives, hypnotics or anxiolytic-induced mental or behavioural disorders"
6C44.70,"- - - - - Sedative, hypnotic or anxiolytic-induced mood disorder"
6C44.71,"- - - - - Sedative, hypnotic or anxiolytic-induced anxiety disorder"
6C44.Y,"- - - - Other specified disorders due to use of sedatives, hypnotics or anxiolytics"
6C44.Z,"- - - - Disorders due to use of sedatives, hypnotics or anxiolytics, unspecified"
6C45,- - - Disorders due to use of cocaine
6C45.0,- - - - Episode of harmful use of cocaine
6C45.1,- - - - Harmful pattern of use of cocaine
6C45.10,"- - - - - Harmful pattern of use of cocaine, episodic"
6C45.11,"- - - - - Harmful pattern of use of cocaine, continuous"
6C45.1Z,"- - - - - Harmful pattern of use of cocaine, unspecified"
6C45.2,- - - - Cocaine dependence
6C45.20,"- - - - - Cocaine dependence, current use"
6C45.21,"- - - - - Cocaine dependence, early full remission"
6C45.22,"- - - - - Cocaine dependence, sustained partial remission"
6C45.23,"- - - - - Cocaine dependence, sustained full remission"
6C45.2Z,"- - - - - Cocaine dependence, unspecified"
6C45.3,- - - - Cocaine intoxication
6C45.4,- - - - Cocaine withdrawal
6C45.5,- - - - Cocaine-induced delirium
6C45.6,- - - - Cocaine-induced psychotic disorder
6C45.60,- - - - - Cocaine-induced psychotic disorder with hallucinations
6C45.61,- - - - - Cocaine-induced psychotic disorder with delusions
6C45.62,- - - - - Cocaine-induced psychotic disorder with mixed psychotic symptoms
6C45.6Z,"- - - - - Cocaine-induced psychotic disorder, unspecified"
6C45.7,- - - - Certain specified cocaine-induced mental or behavioural disorders
6C45.70,- - - - - Cocaine-induced mood disorder
6C45.71,- - - - - Cocaine-induced anxiety disorder
6C45.72,- - - - - Cocaine-induced obsessive-compulsive or related disorder
6C45.73,- - - - - Cocaine-induced impulse control disorder
6C45.Y,- - - - Other specified disorders due to use of cocaine
6C45.Z,"- - - - Disorders due to use of cocaine, unspecified"
6C46,"- - - Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone"
6C46.0,"- - - - Episode of harmful use of stimulants including amphetamines, methamphetamine or methcathinone"
6C46.1,"- - - - Harmful pattern of use of stimulants including amphetamines, methamphetamine or methcathinone"
6C46.10,"- - - - - Harmful pattern of use of stimulants including amphetamines, methamphetamine or methcathinone, episodic"
6C46.11,"- - - - - Harmful pattern of use of stimulants including amphetamines, methamphetamine or methcathinone, continuous"
6C46.1Z,"- - - - - Harmful pattern of use of stimulants including amphetamines, methamphetamine and methcathinone, unspecified"
6C46.2,"- - - - Stimulant dependence including amphetamines, methamphetamine or methcathinone"
6C46.20,"- - - - - Stimulant dependence including amphetamines, methamphetamine or methcathinone, current use"
6C46.21,"- - - - - Stimulant dependence including amphetamines, methamphetamine or methcathinone, early full remission"
6C46.22,"- - - - - Stimulant dependence including amphetamines, methamphetamine or methcathinone, sustained partial remission"
6C46.23,"- - - - - Stimulant dependence including amphetamines, methamphetamine or methcathinone, sustained full remission"
6C46.2Z,"- - - - - Stimulant dependence including amphetamines, methamphetamine or methcathinone, unspecified"
6C46.3,"- - - - Stimulant intoxication including amphetamines, methamphetamine or methcathinone"
6C46.4,"- - - - Stimulant withdrawal including amphetamines, methamphetamine or methcathinone"
6C46.5,"- - - - Stimulant-induced delirium including amphetamines, methamphetamine or methcathinone"
6C46.6,"- - - - Stimulant-induced psychotic disorder including amphetamines, methamphetamine or methcathinone"
6C46.60,"- - - - - Stimulant-induced psychotic disorder including amphetamines, methamphetamine or methcathinone with hallucinations"
6C46.61,"- - - - - Stimulant-induced psychotic disorder including amphetamines, methamphetamine or methcathinone with delusions"
6C46.62,- - - - - Stimulant-induced psychotic disorder including amphetamines but excluding caffeine or cocaine with mixed psychotic symptoms
6C46.6Z,"- - - - - Stimulant-induced psychotic disorder including amphetamines, methamphetamine or methcathinone, unspecified"
6C46.7,"- - - - Certain specified stimulant-induced mental or behavioural disorders including amphetamines, methamphetamine or methcathinone"
6C46.70,"- - - - - Stimulant-induced mood disorder including amphetamines, methamphetamine or methcathinone"
